seqname trgroup start_5prime stop_5prime trlength seqlength trprop start_3prime stop_3prime
dd11c721-41a4-4e21-ad94-fe401b4ea724 2 238 369 131 1459 8.98 -1091 -1222
dd11c721-41a4-4e21-ad94-fe401b4ea724 3 512 616 104 1459 7.13 -844 -948
dd11c721-41a4-4e21-ad94-fe401b4ea724 4 720 1053 333 1459 22.82 -407 -740
dd11c721-41a4-4e21-ad94-fe401b4ea724 5 1204 1321 117 1459 8.02 -139 -256
dd11c721-41a4-4e21-ad94-fe401b4ea724 6 1322 1452 130 1459 8.91 -8 -138
dd134dff-c3b2-470c-a877-11219a7942fd 1 109 311 202 4142 4.88 -3832 -4034
dd134dff-c3b2-470c-a877-11219a7942fd 2 344 530 186 4142 4.49 -3613 -3799
dd15553e-f58e-4db7-9d3e-d835fd73bfdd 0 0 0 0 302 0 0 0
dd16b1d5-1c02-4972-9bc4-c04d2bd8f87c 0 0 0 0 296 0 0 0
dd18c7ee-fef9-4ab9-b75b-b6a80277d21f 1 14 58 44 367 11.99 -310 -354
dd18c7ee-fef9-4ab9-b75b-b6a80277d21f 2 59 150 91 367 24.8 -218 -309
dd2066d0-824f-4b2c-aebd-83e758d0ea84 0 0 0 0 257 0 0 0
dd218092-5da4-4103-9a82-6ec3f83f638f 0 0 0 0 3753 0 0 0
dd27db9d-3e14-4ec2-a165-12faf4f533a3 1 81 162 81 487 16.63 -326 -407
dd27db9d-3e14-4ec2-a165-12faf4f533a3 2 264 438 174 487 35.73 -50 -224
dd29a3e1-3a45-47f8-b88b-1e1dd64e214b 0 0 0 0 607 0 0 0
dd29c1b7-be04-4e2d-a22e-9e5741a56abc 1 51 626 575 2343 24.54 -1718 -2293
dd2baaa6-7a69-4d4c-8f10-18a0b8bb6fc2 0 0 0 0 565 0 0 0
dd32e840-28a8-417a-9da0-61a30e49ab4f 1 88 182 94 447 21.03 -266 -360
dd338dc5-9d7b-4000-af8a-60f7d64e9a50 1 1221 1454 233 2888 8.07 -1435 -1668
dd35d50c-0300-4768-a85c-42b5dfbc99a3 1 195 347 152 2967 5.12 -2621 -2773
dd374ad3-8061-467b-a9f0-c59882edd303 1 64 263 199 2031 9.8 -1769 -1968
dd374ad3-8061-467b-a9f0-c59882edd303 2 361 578 217 2031 10.68 -1454 -1671
dd374ad3-8061-467b-a9f0-c59882edd303 3 726 762 36 2031 1.77 -1270 -1306
dd374ad3-8061-467b-a9f0-c59882edd303 4 874 1332 458 2031 22.55 -700 -1158
dd374ad3-8061-467b-a9f0-c59882edd303 5 1364 1417 53 2031 2.61 -615 -668
